strain_name	species	division	class	habitat	strain_link	species_link	scientific_name	taxon_id	url_slug
K-0455	Blastophysa rhizopus	Chlorophyta	Bryopsidophyceae	Marine, On Laminaria digitata	https://norcca.scrol.net/strain/k-0455	https://norcca.scrol.net/species/blastophysa-rhizopus	Blastophysa rhizopus	144478	k-0455
K-0457	Blastophysa rhizopus	Chlorophyta	Bryopsidophyceae	Marine, On Chondrus crispus	https://norcca.scrol.net/strain/k-0457	https://norcca.scrol.net/species/blastophysa-rhizopus	Blastophysa rhizopus	144478	k-0457
K-0458	Blastophysa rhizopus	Chlorophyta	Bryopsidophyceae	Marine, On mussel shell	https://norcca.scrol.net/strain/k-0458	https://norcca.scrol.net/species/blastophysa-rhizopus	Blastophysa rhizopus	144478	k-0458
K-0459	Blastophysa rhizopus	Chlorophyta	Bryopsidophyceae	Marine, On Dictyosphaeria cavernosa	https://norcca.scrol.net/strain/k-0459	https://norcca.scrol.net/species/blastophysa-rhizopus	Blastophysa rhizopus	144478	k-0459
K-0464	Vaucheria dillwynii	Ochrophyta	Xanthophyceae	Freshwater	https://norcca.scrol.net/strain/k-0464	https://norcca.scrol.net/species/vaucheria-dillwynii	Vaucheria dillwynii	656435	k-0464
K-0465	Pavlova sp.	Haptophyta	Pavlovophyceae	Marine	https://norcca.scrol.net/strain/k-0465	https://norcca.scrol.net/species/pavlova-sp	Pavlova	249731	k-0465
K-0482	Heterocapsa triquetra	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-0482	https://norcca.scrol.net/species/heterocapsa-triquetra	Heterocapsa triquetra	1346683	k-0482
K-0483	Heterocapsa rotundata	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-0483	https://norcca.scrol.net/species/heterocapsa-rotundata	Heterocapsa rotundata	110152	k-0483
K-0493	Chlamydomonas sp.	Chlorophyta	Chlorophyceae	Marine	https://norcca.scrol.net/strain/k-0493	https://norcca.scrol.net/species/chlamydomonas-sp	Chlamydomonas	178583	k-0493
K-0502	Asperococcus fistulosus	Ochrophyta	Phaeophyceae	Marine	https://norcca.scrol.net/strain/k-0502	https://norcca.scrol.net/species/asperococcus-fistulosus	Asperococcus fistulosus	145313	k-0502
K-0513	Hemiselmis sp.	Cryptophyta	Cryptophyceae	Marine, Littoral Pool	https://norcca.scrol.net/strain/k-0513	https://norcca.scrol.net/species/hemiselmis-sp	Hemiselmis	106287	k-0513
K-0517	Hincksia ovata	Ochrophyta	Phaeophyceae	Marine, Epizoic on Boltenia	https://norcca.scrol.net/strain/k-0517	https://norcca.scrol.net/species/hincksia-ovata	Hincksia ovata	145438	k-0517
K-0521	Feldmannia irregularis	Ochrophyta	Phaeophyceae	Marine, Epiphyte on Cystoseira abies-marina	https://norcca.scrol.net/strain/k-0521	https://norcca.scrol.net/species/feldmannia-irregularis	Feldmannia irregularis	145415	k-0521
K-0524	Tetraselmis sp.	Chlorophyta	Chlorodendrophyceae	Marine	https://norcca.scrol.net/strain/k-0524	https://norcca.scrol.net/species/tetraselmis-sp	Tetraselmis	134526	k-0524
